Champ,Description,Oblig.,Provenance,Exemple métier,Commentaire
_id,identifiant unique de l'archive Unit,oui,généré automatiquement lors de l'insertion,aeaaaaaaaaaam7mxaaaamakvhiv4t6yaaaaq,
DescriptionLevel,,,Item,,
Title,titre de l'archive unit,,Annuaire_projet,,
FilePlanPosition,,,FilePlanPosition0,,
SystemId,,,19,,
OriginatingSystemId,,,,,
ArchivalAgencyArchiveUnitIdentifier,identifiant unique de l'agence de l'archive,,,,
OriginatingAgencyArchiveUnitIdentifier,identifiant unique de l'agence origine de l'archive,,,,
TransferringAgencyArchiveUnitIdentifier,identifiant unique de l'agence qu'a transféré l'archive,,,,
Description,,,,,
Type,,,,,
TransactedDate,date de la transaction (réception de sip),,"""2016-04-25""",,
_dom,,,,,
